,name,id,lat,lon,capacity,closest_district
184,"Wardour Street, Soho",192,51.51251523,-0.133201961,16,Lambeth
185,"Bankside Mix, Bankside",193,51.50581776,-0.10018633699999999,60,Southwark
186,"Hop Exchange, The Borough",194,51.50462759,-0.091773776,56,Southwark
187,"Milroy Walk, South Bank",195,51.50724437,-0.106237501,30,Southwark
188,"Union Street, The Borough",196,51.50368837,-0.098497684,17,Southwark
189,"Stamford Street, South Bank",197,51.50556905,-0.11160669599999999,27,Lambeth
190,"Great Tower Street, Monument",199,51.51048489,-0.082989638,24,City of London
191,"LMU Commercial Road, Whitechapel",200,51.51492456,-0.066078037,14,City of London
192,"Dorset Square, Marylebone",201,51.522596500000006,-0.161113413,16,Camden
193,"Leman Street, Aldgate",202,51.51236389,-0.06954201,37,City of London
194,"West Smithfield Rotunda, Farringdon",203,51.51821864,-0.100791005,15,City of London
195,"Margery Street, Clerkenwell",204,51.52659961,-0.112432615,19,Islington
196,"New Road 1 , Whitechapel",206,51.518153999999996,-0.062697,36,City of London
197,"Grosvenor Crescent, Belgravia",207,51.50135267,-0.153194766,18,Westminster
198,"Mallory Street, Marylebone",208,51.52505151,-0.166304359,20,Camden
199,"Denyer Street, Knightsbridge",209,51.49358391,-0.16510139199999999,30,Westminster
200,"Hinde Street, Marylebone",210,51.51681444,-0.151926305,21,Westminster
201,"Cadogan Place, Knightsbridge",211,51.49464523,-0.158105512,34,Westminster
202,"Campden Hill Road, Notting Hill",212,51.50658458,-0.19900402600000003,17,Kensington and Chelsea
203,"Wellington Arch, Hyde Park",213,51.50274025,-0.14956920099999998,36,Westminster
204,"Endsleigh Gardens, Euston",214,51.52683806,-0.130504336,32,Camden
205,"Moorfields, Moorgate",215,51.51906932,-0.088285377,54,City of London
206,"Old Brompton Road, South Kensington",216,51.49094565,-0.181190899,30,Kensington and Chelsea
207,"Wormwood Street, Liverpool Street",217,51.51615461,-0.08242239900000001,16,City of London
208,"St. Luke's Church, Chelsea",218,51.48971651,-0.17019440800000002,20,Kensington and Chelsea
209,"Bramham Gardens, Earl's Court",219,51.49016361,-0.19039362,29,Kensington and Chelsea
210,"Chelsea Green, Chelsea",220,51.49066456,-0.166485083,27,Westminster
211,"Horseferry Road, Westminster",221,51.49481649,-0.13045856,16,Westminster
212,"Knightsbridge, Hyde Park",222,51.50275704,-0.155349725,43,Westminster
213,"Rodney Road , Walworth",223,51.49148474,-0.090220911,24,Southwark
214,"Notting Hill Gate Station, Notting Hill",225,51.50935342,-0.196422,30,Kensington and Chelsea
215,"Charles II Street, West End",226,51.50844614,-0.131961389,24,Westminster
