dates,postcode,street,title,Year,Month,Days,Duration
30th - 31st May 2015,W2 2UH,Rangers Lodge,"
ITU World Triathlon London ",2015,5,3031,
30th May - 02nd June 2015,E1 6QL,91 Brick Lane,"
Graduate Fashion Week ",2015,6,30y ,
19th May 2018,HA9 0WS,Wembley,"
FA Cup Final ",2018,5,19,
Various Venues,WC2N 5DW,London,"
London Festival of Architecture ",2015,0,Va,
01st June 2015,SE10 0BB,Peninsula Square,"
Ariana Grande: The Honeymoon Tour 2015 ",2015,6,1,
01st - 27th June 2015,SE1 9DT,"21 New Globe Walk, Bankside","
King John ",2015,6,127,
02nd - 07th June 2015,EC2Y 8DS,Silk Street,"
Not I/Footfalls/Rockaby ",2015,6,207,
4th June to 3rd August 2019,W8 6LU,Holland Park,"
Opera Holland Park ",2019,8,4t,
02nd - 26th June 2016,E1 6LY,Commercial Street,"
Spitalfields Music Summer Festival ",2016,6,226,
02nd June 2015,WC2R 1LA,The New Wing Somerset House,"
Wine Tasting at Pennethorne's Cafe Bar ",2015,6,2,
02nd June - 13th September 2015,W2 2AR,"West Carriage Drive, Kensington Gardens","
Duane Hanson ",2015,9,02nd June - 13th,
03rd June - 11th October 2015,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Agnes Martin ",2015,10,03rd June - 11th,
03rd June - 30th September 2015,SE1 9PX,South Bank,"
The Red Lion ",2015,9,03rd June - 30th,
04th - 13th June 2015,EC2Y 8DS,Silk Street,"
Waiting for Godot ",2015,6,413,
09th July 2016,W2 2UH,Rangers Lodge,"
Take That ",2016,7,9,
04th June - 27th September 2015,XX1 0LL,Central London,"
Secret Cinema: Empire Strikes Back ",2015,9,04th June - 27th,
30th July - 25th September 2016,E15 2EE,Olympic Park,"
The Floating Cinema on Tour ",2016,9,30th July - 25th,
16th September 2017,EC2M 2QS,Broadgate,"
The Slider Decider ",2017,9,16,
"7th, 8th and 9th June 2019",SW6 3NG,Hurlingham Road,"
Polo in the Park ",2019,6,7t,
05th - 07th June 2015,N1 0ER,Copenhagen Street,"
The Londonaise ",2015,6,507,
05th June 2015,SW7 2AP,Kensington Gore,"
Battle of Waterloo Concert ",2015,6,5,
06th June 2015,EC2Y 8DS,Silk Street,"
Nico Muhly Sentences ",2015,6,6,
06th June - 02nd July 2015,WC2N 4ES,St Martin's Lane,"
English National Opera: The Queen of Spades ",2015,7,06ne,
03rd June - 28th August 2017,SE1 8XX,Belvedere Road,"
Festival of Love ",2017,8,3,
08th July 2018,HA9 0WS,London,"
The Color Run ",2018,7,8,
18th June 2017,E15 2EE,Olympic Park,"
The Big Lunch at the Olympic Park ",2017,6,18,
10th June to 12th August 2019,W1J 0BD,Burlington House,"
Royal Academy Summer Exhibition ",2019,8,10,
09th June - 12th July 2015,WC2A 2HT,Portugal Street,"
The 7 Fingers: Traces ",2015,7,09ne,
10th June - 20th August 2015,SE1 9PX,South Bank,"
The Motherf**ker With The Hat ",2015,8,10,
10th June - 06th September 2015,SE1 8XZ,Belvedere Road,"
Carsten Holler: Decision ",2015,9,10th June - 06th,
08th - 24th June 2017,KT8 9AU,"East Molesey, Surrey","
Hampton Court Palace Festival ",2017,6,824,
11th - 12th June 2015,KT8 9AU,"East Molesey, Surrey","
Jools Holland & His Rhythm & Blues Orchestra ",2015,6,1112,
30th June - 18th July 2016,W4 2RP,Burlington Lane,"
Giffords Circus ",2016,7,30ne,
11th June - 11th July 2015,SE1 9PX,"National Theatre, South Bank","
We Want You To Watch ",2015,7,11ne,
"9th, 10th, 11th and 12th May 2019",NW3 1TH,East Heath Road,"
Affordable Art Fair Hampstead ",2019,5,9t,
14th June - 03rd September 2016,WC2N 5DE,Northumberland Avenue,"
1984 ",2016,9,14th June - 03rd,
13th June 2015,KT8 9AU,"East Molesey, Surrey","
Fanfare and Fireworks with the Royal Philharmonic Concert Orchestra ",2015,6,13,
18th June 2016,WC2N 5DW,London,"
Bushstock ",2016,6,18,
13th June - 18th July 2015,NW3 3EU,Eton Avenue,"
Luna Gale ",2015,7,13ne,
17th June 2017,N6 6BP,Highgate Village,"
Highgate Fair in the Square ",2017,6,17,
Various Venues,WC2N 5DW,London,"
Open Garden Squares Weekend 2015 ",2015,0,Va,
Saturday 8th June 2019,NW1 4NR,Inner Circle,"
World Naked Bike Ride ",2019,6,Sa,
14th June 2015,W1K 1QZ,150 Old Park Lane,"
Hard Rock Cafe Birthday ",2015,6,14,
15th - 17th June 2015,WC2N 5DW,London,"
London Collections: Men ",2015,6,1517,
16th - 18th June 2015,KT8 9AU,"East Molesey, Surrey","
Paloma Faith ",2015,6,1618,
17th June 2015,KT8 9AU,"East Molesey, Surrey","
Alan Davies and Paul Merton's Impro Chums ",2015,6,17,
13th June to 20th October 2019,WC2H 0HE,St Martin's Place,"
BP Portrait Award ",2019,10,13,
"12th, 13th and 14th July 2019",W2 2UH,Rangers Lodge,"
Barclaycard presents British Summer Time Hyde Park ",2019,7,12,
