dates,postcode,street,title,Year,Month,Days,Duration
18th - 28th June 2015,W14 8UX,Hammersmith Road,"
Olympia International Art & Antiques Fair ",2015,6,1828,
19th June - 11th July 2015,NW1 4NR,"Inner Circle, Regent's Park","
The Seagull ",2015,7,19ne,
19th - 21st June 2015,EC2Y 8DS,Silk Street,"
Krapp's Last Tape ",2015,6,1921,
19th June 2015,KT8 9AU,"East Molesey, Surrey","
Alfie Boe ",2015,6,19,
19th June - 22nd August 2015,SE1 8LZ,66 The Cut,"
The Trial ",2015,8,19,
19th - 28th June 2015,W11 3AG,London,"
InTransit Festival ",2015,6,1928,
20th June 2015,KT8 9AU,"East Molesey, Surrey","
Peter Andre ",2015,6,20,
20th June 2015,W2 2UH,Rangers Lodge,"
Blur ",2015,6,20,
Saturday 22nd and Sunday 23rd June 2019,WC2N 5DS,Central London,"
West End LIVE ",2019,6,Sa,
20th - 28th June 2015,EC1R 4TN,Rosebery Avenue,"
Paco Pena Flamenco Dance Company: Flamencura ",2015,6,2028,
21st June 2015,W2 2UH,Rangers Lodge,"
Kylie Minogue, Grace Jones and Chic feat Nile Rodgers ",2015,6,21,
21st June 2015,SW1A 2AX,Whitehall,"
The New Waterloo Dispatch: Battle Of Waterloo Bicentenary Parade ",2015,6,21,
21st June 2015,N22 7AY,"Alexandra Palace Way, Wood Green","
U.N. International Yoga Day at Alexandra Palace ",2015,6,21,
22nd June - 13th July 2015,WC2N 5DW,London,"
City of London Festival ",2015,7,22ne,
23rd June 2015,KT8 9AU,"East Molesey, Surrey","
Burt Bacharach ",2015,6,23,
23rd - 26th June 2015,SW6 3PR,Ranelagh Gardens,"
BNP Paribas Tennis Classic ",2015,6,2326,
24th June - 25th October 2015,SW1P 4RG,Millbank,"
Barbara Hepworth ",2015,10,24th June - 25th,
24th June - 07th November 2015,WC2R 0NH,404 Strand,"
The Importance Of Being Earnest ",2015,11,24th June - 07th,
24th June - 19th July 2015,SE1 8XX,Belvedere Road,"
Barely Methodical Troupe: Bromance ",2015,7,24ne,
24th June - 25th July 2015,EC2Y 8DS,Silk Street,"
To Kill A Mockingbird ",2015,7,24ne,
24th June - 11th October 2015,SW7 2RL,Cromwell Road,"
Captain Linnaeus Tripe: Photographer Of India And Burma, 1852-1860 ",2015,10,24th June - 11th,
25th June - 18th October 2015,W2 3XA,Kensington Gardens,"
Serpentine Gallery Pavilion 2015: SelgasCano ",2015,10,25th June - 18th,
From 25th June 2015,E1 6LP,40 Commercial Street,"
The Culpeper: Rooftop Bar, Grill and Greenhouse ",2015,6,Fr,
26th June 2015,W2 2UH,Rangers Lodge,"
British Summer Time 2015: The Who ",2015,6,26,
21st June to 6th July 2019,SE10 9HF,London,"
Greenwich and Docklands International Festival ",2019,7,21,
27th June 2015,W2 2UH,Rangers Lodge,"
Taylor Swift: The 1989 World Tour ",2015,6,27,
27th June 2015,HA9 0DH,"Arena Square, Engineers Way","
Idina Menzel ",2015,6,27,
27th - 28th June 2015,SW11 4NJ,"Albert Bridge Road, Battersea Park","
FIA Formula E Championship ",2015,6,2728,
"21st, 22nd and 23rd June 2019",SE10 9NF,Romney Road,"
Greenwich Fair ",2019,6,21,
1st to 14th July 2019,SW19 5AE,Church Road,"
Wimbledon Lawn Tennis Championship ",2019,7,1s,
30th June - 05th July 2015,EC1R 4TN,Rosebery Avenue,"
Akram Khan & Israel Galvan - TOROBAKA ",2015,7,30ne,
26th June - 27th July 2015,EC2Y 8DS,Silk Street,"
Station To Station: A 30 Day Happening ",2015,7,26ne,
01st July - 06th September 2015,W1D 7ES,Shaftesbury Avenue,"
The Gruffalo: Tall Stories Theatre Company ",2015,9,01st July - 06th,
01st - 04th July 2015,SE18 5DP,"Artillery Place, Woolwich","
The Four Fridas ",2015,7,104,
01st July - 10th January 2016,W1K 4HB,25 Brook Street,"
Handel: A Life With Friends ",2016,7,01st July - 10th,
02nd July - 18th October 2015,WC2H 0HE,St Martin's Place,"
Audrey Hepburn: Portraits of an Icon  ",2015,10,02nd July - 18th,
26th - 28th August 2017,N22 7AY,"Alexandra Palace Way, Wood Green","
Foodies Festival Alexandra Palace ",2017,8,2628,
03rd July 2015,WC2N 5DS,Central London,"
BP Big Screen: The Royal Opera: Don Giovanni ",2015,7,3,
From 03rd July 2015,E1 6LT,66 Commercial Street,"
Oink Swine Dining ",2015,7,Fr,
04th July 2015,SW4 9DE,Windmill Drive,"
Calling Festival 2015 ",2015,7,4,
04th July - 27th September 2015,W1J 0BD,Burlington House,"
Joseph Cornell ",2015,9,04th July - 27th,
04th July - 03rd January 2016,E2 9PA,Cambridge Heath Road,"
Kites From Kabul ",2016,7,04th July - 03rd,
10th - 15th July 2018,TW9 3AB,"Kew, Richmond","
Kew the Music ",2018,7,1015,
08th - 13th May 2017,EH14 5HQ,Montgomery Square,"
Every Brilliant Thing ",2017,5,813,
08th - 11th July 2015,WC2N 4ES,St Martin's Lane,"
Dutch National Ballet: Cinderella ",2015,7,811,
08th July - 06th September 2015,WC2N 5DN,Trafalgar Square,"
Soundscapes ",2015,9,08th July - 06th,
11th to 21st July 2019,WC2R 1LA,Strand,"
Somerset House Summer Series ",2019,7,11,
09th July 2015,WC2R 1LA,Strand,"
Chromeo ",2015,7,9,
09th - 31st July 2015,W8 6LU,Holland Park,"
Opera Holland Park: Lakme by Leo Delibes ",2015,7,931,
09th July - 25th August 2015,W1B 1AD,66 Portland Place,"
Virtual Control - Security And The Urban Imagination ",2015,8,9,
10th July 2015,WC2R 1LA,Strand,"
Gary Clark Jr. ",2015,7,10,
10th July - 10th October 2015,W1F 7TF,8 Argyll Street,"
Sinatra at The London Palladium ",2015,10,10th July - 10th,
10th July 2015,NW1 8AH,Chalk Farm Road,"
Camden Market Presents: Lock Live ",2015,7,10,
10th July - 27th September 2015,N1C 4BH,2 Granary Square,"
Ladybird by Design ",2015,9,10th July - 27th,
11th July 2015,WC2R 1LA,Strand,"
Passenger ",2015,7,11,
01st - 16th July 2017,WC2N 5DW,London,"
Shubbak Festival ",2017,7,116,
11th July - 18th October 2015,SE1 9DT,"21 New Globe Walk, Bankside","
Richard II ",2015,10,11th July - 18th,
14th - 15th July 2018,SW19 5AE,Church Road,"
Wimbledon Finals Weekend ",2018,7,1415,
12th July 2015,WC2R 1LA,Strand,"
Chronixx ",2015,7,12,
10th July 2016,SE1 1TL,Southwark Street,"
Bastille Day Festival ",2016,7,10,
08th July 2016,SE10 9LW,King William Walk,"
Roxette: The XXX Anniversary Tour ",2016,7,8,
14th July - 09th August 2015,EC1R 4TN,Rosebery Avenue,"
Matthew Bourne's The Car Man ",2015,8,14,
14th July 2015,WC2R 1LA,Strand,"
Nick Mulvey ",2015,7,14,
14th - 16th July 2015,SE10 0BB,Peninsula Square,"
Neil Diamond ",2015,7,1416,
15th July 2015,WC2R 1LA,Strand,"
Angus & Julia Stone ",2015,7,15,
15th July - 01st November 2015,WC1A 2HH,35 Little Russell Street,"
Alice In Cartoonland ",2015,11,15th July - 01st,
16th July 2015,WC2R 1LA,Strand,"
James Bay ",2015,7,16,
16th July - 29th August 2015,NW1 4NR,"Inner Circle, Regent's Park","
Seven Brides for Seven Brothers ",2015,8,16,
17th July 2015,WC2R 1LA,Strand,"
Kwabs ",2015,7,17,
19th July to 14th September 2019,SW7 2AP,Kensington Gore,"
The BBC Proms 2015 ",2019,9,19,
15th July 2016,SW7 2AP,Kensington Gore,"
Prom 1: First Night Of The Proms ",2016,7,15,
17th - 18th July 2015,WC2N 4ES,St Martin's Lane,"
Ardani 25 Dance Gala ",2015,7,1718,
15th June 2017,SW3 4SR,Royal Hospital Road,"
Belle and Sebastian ",2017,6,15,
18th July 2015,SE10 0BB,Peninsula Square,"
Bette Midler: It's The Girls Tour ",2015,7,18,
18th July 2015,E16 1RH,Connaught Road,"
Great London Swim ",2015,7,18,
15th July 2018,W3 8LQ,Popes Lane,"
Citadel Festival ",2018,7,15,
19th July 2015,WC2R 1LA,Strand,"
Jessie J ",2015,7,19,
19th July 2015,E20 2ST,"Olympic Park, Stratford","
Great Newham London Run ",2015,7,19,
20th - 25th July 2015,SE1 9DT,"21 New Globe Walk, Bankside","
The National Theatre of China: Richard III ",2015,7,2025,
29th March - 02nd April 2016,SE1 9PX,"National Theatre, South Bank","
Brainstorm ",2016,4,29,
21st July - 21st October 2015,SE1 9PX,South Bank,"
Three Days in the Country ",2015,10,21st July - 21st,
22nd - 27th July 2015,SE10 9LW,King William Walk,"
Greenwich Music Time ",2015,7,2227,
22nd July - 18th October 2015,NW1 2BE,183 Euston Road,"
Alice Anderson: Memory Movement Memory Objects ",2015,10,22nd July - 18th,
24th - 25th August 2016,TW9 3AB,"Kew, Richmond","
Kew the Movies ",2016,8,2425,
22nd - 24th July 2015,SE1 8XX,Belvedere Road,"
A Midsummer Night's Dream ",2015,7,2224,
23rd - 25th July 2015,SW1A 2AX,Whitehall,"
Global Champions Tour Show Jumping ",2015,7,2325,
23rd July 2015,SE10 9LW,King William Walk,"
Gipsy Kings ",2015,7,23,
24th - 26th July 2015,SW4 9DE,Windmill Drive,"
Foodies Festival Clapham Common ",2015,7,2426,
25th July 2015,WC2N 5DS,Central London,"
Eid Festival 2015 ",2015,7,25,
25th July - 05th September 2015,WC2H 0HH,2 Charing Cross Road,"
Horrible Histories: Barmy Britain - Part Three ",2015,9,25th July - 05th,
25th July 2015,SW7 2AP,Kensington Gore,"
Prom 11: Fiddler On The Roof ",2015,7,25,
26th July - 20th September 2015,EC4M 9AB,"Rooftop Terrace, One New Change","
Luna Cinema at Madison ",2015,9,26th July - 20th,
26th - 27th July 2015,SE10 9LW,King William Walk,"
Tom Jones ",2015,7,2627,
08th July - 27th August 2016,WC2N 4AU,St Martin's Lane,"
Impossible ",2016,8,8,
29th July 2015,SE1 8XX,Belvedere Road,"
A Life in Song: Pete Waterman ",2015,7,29,
29th July 2015,SW7 2AP,Kensington Gore,"
Prom 16: Late Night With BBC Radio 1 ",2015,7,29,
29th July - 27th September 2015,SW1Y 5AH,"12 Carlton House Terrace, The Mall","
Everything Is Architecture: Bau Magazine From The 60s And 70s ",2015,9,29th July - 27th,
31st July - 05th September 2015,SE1 9DT,"21 New Globe Walk, Bankside","
The Heresy of Love ",2015,9,31st July - 05th,
04th - 05th August 2017,SE1 2AA ,"City Hall, 110 The Queens Walk","
London Beach Rugby ",2017,8,405,
Saturday 3rd August 2019,SW1A 2BJ,Horse Guards Road,"
Brompton World Championship ",2019,8,Sa,
19th February 2016,SE1 8XX,Belvedere Road,"
I Believe in Unicorns ",2016,2,19,
Saturday 3rd August 2019,SW1Y 5AH,Westminster,"
RideLondon FreeCycle ",2019,8,Sa,
1st to 31st August 2019,WC2H 7BP,London,"
Kids Week ",2019,8,1s,
Saturday 3rd and Sunday 4th August 2019,SW1A 2BJ,Horse Guards Road,"
Prudential RideLondon ",2019,8,Sa,
01st August 2015,SW7 2AP,Kensington Gore,"
Prom 21: Alina Ibragimova Plays Bach 2 ",2015,8,1,
06th - 07th August 2016,N22 7AY,"Alexandra Palace Way, Wood Green","
Luna Cinema at Alexandra Palace ",2016,8,607,
14th August - 30th September 2018,SE1 8XX,"Jubilee Gardens, Belvedere Road","
Aliens Love Underpants ",2018,9,14th August - 30,
Sunday 4th August 2019,SW1Y 5AH,Westminster,"
Prudential RideLondon Classic ",2019,8,Su,
Sunday 10th August 2014 - 7am-5pm,E15 2EE,Olympic Park,"
Prudential RideLondon-Surrey 100 ",2015,8,Sunday 10th Augu,
04th - 29th August 2015,N4 3JP,11 Clifton Terrace,"
Crossing Jerusalem ",2015,8,429,
05th August - 31st October 2015,EC2Y 8DS,Silk Street,"
Hamlet ",2015,10,05th August - 31,
05th August - 27th September 2015,SE1 8XX,"Jubilee Gardens, Belvedere Road","
Briefs ",2015,9,05th August - 27,
05th August 2015,SW7 2AP,Kensington Gore,"
Prom 27: Late Night With BBC 6 Music ",2015,8,5,
05th - 23rd August 2015,NW1 8EH,Chalk Farm Road,"
Bloomberg Summer at the Roundhouse: Utopia ",2015,8,523,
05th - 16th August 2015,SE1 8XX,Belvedere Road,"
Wot? No Fish ",2015,8,516,
8th to 21st August 2019,WC2R 1LA,Strand,"
Film4 Summer Screen at Somerset House ",2019,8,8t,
02nd - 06th December 2015,N12 0GA,"5 Nether Street, Tally Ho Corner","
Hetty Feather (Over 7s) ",2015,12,206,
07th August - 01st November 2015,NW1 2DB,96 Euston Road,"
Animal Tales ",2015,11,07th August - 01,
07th August 2015,SW7 2AP,Kensington Gore,"
Prom 30: The John Wilson Orchestra Performs Frank Sinatra ",2015,8,7,
06th - 07th November 2016,E16 1XL,"One Western Gateway, Royal Victoria Dock","
London Triathlon ",2016,11,607,
09th August 2015,SW7 2AP,Kensington Gore,"
Prom 32: Eric Whitacre and the Royal Philharmonic Orchestra ",2015,8,9,
10th August 2015,SW1X 9DQ,5 Sloane Terrace,"
Proms Chamber Music 4: Dame Evelyn Glennie ",2015,8,10,
08th - 12th August 2017,W14 8UX,Hammersmith Road,"
The Great British Beer Festival ",2017,8,812,
12th August 2015,SW7 2AP,Kensington Gore,"
Prom 36: Pierre Boulez, Ravel & Stravinsky ",2015,8,12,
21st - 22nd June 2016,W1F 7TF,8 Argyll Street,"
Ben Folds ",2016,6,2122,
12th August - 27th September 2015,W9 2PF,Opp 35 Blomfield Road,"
Fowl Play ",2015,9,12th August - 27,
"9th, 10th and 11th August 2019",E1W 2SF,50 Porters Walk,"
London Craft Beer Festival ",2019,8,9t,
10th - 12th August 2018,W6 0SL,Ravenscourt Avenue,"
Pop Up Screens - Ravenscourt Park ",2018,8,1012,
16th August 2015,SW7 2AP,Kensington Gore,"
Prom 41: Sherlock Holmes: A Musical Mind ",2015,8,16,
17th - 30th August 2015,SE1 8XX,Belvedere Road,"
Meltdown Festival ",2015,8,1730,
19th - 21st August 2015,SW4 0RN,30 Clapham Common North Side,"
Trinity Summer Cinema Series ",2015,8,1921,
19th August - 17th October 2015,SE1 8XZ,South Bank,"
Our Country's Good ",2015,10,19th August - 17,
21st August - 05th January 2019,WC2R 0NS,"18-20 Maiden Lane, The Strand","
Kinky Boots ",2019,8,21st August - 05,
23rd August 2015,NW1 4NR,"Inner Circle, Regent's Park","
Jaws, Open Air Theatre, Regent's Park ",2015,8,23,
15th March - 04th June 2016,WC2H 0DA,Charing Cross Road,"
People, Places and Things ",2016,6,15rc,
23rd - 27th August 2018,WC2H 7BY,7 Leicester Place,"
Film4 FrightFest ",2018,8,2327,
25th - 26th August 2018,SW4 9DE,Windmill Drive,"
South West Four ",2018,8,2526,
26th - 28th August 2017,KT8 9AU,"East Molesey, Surrey","
BBC Good Food Festival ",2017,8,2628,
29th August - 10th October 2015,SE1 2HZ,"147 Tooley Street, More London","
South Bank Stories: The Way We Worked 1980 To Now ",2015,10,29th August - 10,
Saturday 24th and Sunday 25th August 2019,W11 3AG,London,"
Notting Hill Carnival ",2019,8,Sa,
30th August 2015,SW7 2AP,Kensington Gore,"
Prom 59: Life Story Prom ",2015,8,30,
28th August 2016,E2 9DY,29-32 The Oval,"
secretsundaze ",2016,8,28,
1st to 30th September 2019,WC2H 7BP,London,"
Totally Thames ",2019,9,1s,
01st September - 03rd October 2015,SE1 8NB,103 The Cut,"
Future Conditional ",2015,10,01st September -,
30th June to 1st September 2019,SE1 2DB,The Queen's Walk Bridge City,"
More London Free Film Festival at The Scoop ",2019,9,30,
30th August - 16th September 2018,W11 1LJ,Portobello Road,"
Portobello Film Festival ",2018,9,30th August - 16,
03rd - 19th September 2015,SE1 8LZ,66 The Cut,"
Song from Far Away ",2015,9,319,
03rd September 2015,SW1P 3HA,Smith Square,"
Nikolai Demidenko ",2015,9,3,
04th - 06th September 2015,E17 4JF,Forest Road (behind Walthamstow Town Hall),"
Grillstock London ",2015,9,406,
05th September - 31st December 2015,SE10 8ER,12 Crooms Hill,"
Chinese Export Fans ",2015,12,05th September -,
05th September - 21st November 2015,WC2N 4AU,St Martin's Lane,"
Photograph 51 ",2015,11,05th September -,
05th September 2015,W1U 2BP,36 Wigmore Street,"
Igor Levit ",2015,9,5,
05th September 2015,SW7 2AP,Kensington Gore,"
Prom 68: Bach - Six Cello Suites ",2015,9,5,
06th August 2016,SW20 0ET,Barham Road,"
Mencap Dodgeball Championships ",2016,8,6,
03rd September 2017,N1 8GJ,London,"
Angel Canal Festival ",2017,9,3,
06th September 2015,W3 8LQ,Popes Lane,"
London Mela ",2015,9,6,
06th September 2015,E14 6AQ,Market Square,"
Chrisp Street Festival: Circus Comes To Town ",2015,9,6,
07th September 2015,EC3V 1LP,30 St Mary Axe,"
City Three Peaks ",2015,9,7,
20th - 29th September 2018,EC1R 4TN,Rosebery Avenue,"
English National Ballet: Lest We Forget ",2018,9,2029,
08th September - 01st November 2015,SW7 2RL,Cromwell Road,"
Barnaby Barford: The Tower of Babel ",2015,11,08th September -,
08th September - 03rd October 2015,W11 3HQ,11 Pembridge Road,"
The Christians ",2015,10,08th September -,
09th - 13th September 2015,SW7 2EU,Kensington Gore,"
20/21 British Art Fair ",2015,9,913,
09th September - 28th February 2016,W8 6AG,224-238 Kensington High Street,"
Designers in Residence: Migration ",2016,9,09th September -,
09th September 2015,WC2E 9DD,"Bow Street, Covent Garden","
Royal Opera House: Macbeth ",2015,9,9,
09th September - 18th November 2015,W1K 6JP,10-13 Grosvenor Square,"
maze Celebrates Ten Years ",2015,11,09th September -,
12th July 2017,SW9 8JH,"Popes Road, Brixton","
Morning Gloryville ",2017,7,12,
10th September - 10th October 2015,SE1 9PX,"National Theatre, South Bank","
Pomona ",2015,10,10th September -,
19th - 22nd July 2018,SE1 8XX,Belvedere Road,"
Africa Utopia ",2018,7,1922,
10th September 2015,SW7 2AP,Kensington Gore,"
Prom 74: Wireless Nights Prom With Jarvis Cocker ",2015,9,10,
10th September 2015,W1B 5SJ,Regent Street,"
Vogue Loves Regent Street ",2015,9,10,
10th - 13th September 2015,E1 7QX,77-82 Whitechapel High Street,"
The London Art Book Fair ",2015,9,1013,
11th September - 24th October 2015,W12 8LJ,7 Uxbridge Road,"
F*ck The Polar Bears ",2015,10,11th September -,
11th September - 10th April 2016,WC2E 7BB,39 Wellington Street,"
Night Shift ",2016,9,11th September -,
11th - 12th September 2015,SW3 4HS,66 Royal Hospital Garden,"
HandleBards: A Midsummer Night's Dream / Hamlet ",2015,9,1112,
10th September 2016,SW7 2AP,Kensington Gore,"
Last Night of the Proms ",2016,9,10,
Saturday 14th September 2019,W2 2UH,Rangers Lodge,"
BBC Proms in the Park ",2019,9,Sa,
Saturday 14th September 2019,WC2H 7BP,London,"
The Great River Race ",2019,9,Sa,
12th September - 28th October 2015,N1 2DN,14 Dagmar Passage,"
The Journey Home ",2015,10,12th September -,
13th September 2015,HA9 0WS,London,"
Run to the Beat ",2015,9,13,
13th September 2015,N4 1EE,Endymion Road,"
United Festival ",2015,9,13,
11th September 2016,W2 2UH,Rangers Lodge,"
Radio 2 Live In Hyde Park ",2016,9,11,
14th September - 05th December 2015,WC2N 4BG,St Martins Lane,"
Farinelli and the King ",2015,12,14th September -,
14th September - 17th October 2015,NW3 3EU,Eton Avenue,"
Mr Foote's Other Leg ",2015,10,14th September -,
15th September 2015,EC2Y 8DS,Silk Street,"
London Symphony Orchestra: Bernard Haitink ",2015,9,15,
16th September - 04th January 2016,WC2H 0HE,St Martin's Place,"
Simon Schama's The Face Of Britain ",2016,9,16th September -,
17th September - 24th January 2016,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
The World Goes Pop ",2016,9,17th September -,
22nd - 23rd September 2018,SE1 8XX,Belvedere Road,"
Darbar Festival ",2018,9,2223,
17th - 30th September 2015,SE1 8XX,London,"
London in the Sky ",2015,9,1730,
17th - 20th September 2015,N1C 4AA,Good's Way,"
The Floating Cinema: Open Air Weekender: Humans in Space ",2015,9,1720,
26th - 31st July 2016,SE10 9NF,Park Row,"
Magners Greenwich Comedy Festival ",2016,7,2631,
18th September 2015,TW1 1DZ,"Rugby Road, Twickenham","
Rugby World Cup: England v Fiji ",2015,9,18,
18th - 19th September 2015,SW9 9SL,211 Stockwell Road,"
Trailer Park Boys: Drunk, High and Unemployed ",2015,9,1819,
18th - 25th September 2015,EC1R 4TN,Rosebery Avenue,"
Hofesh Shechter Company: Barbarians ",2015,9,1825,
18th September - 24th October 2015,W6 0QA,"Lyric Square, 2 King Street","
Tipping the Velvet ",2015,10,18th September -,
17th September 2016,SE1 2UP,Tower Bridge Road,"
Great Gorilla Run ",2016,9,17,
Various Venues,WC2N 5DW,London,"
Open House London ",2015,0,Va,
19th September - 13th December 2015,W1J 0BD,Burlington House,"
Ai Weiwei ",2015,12,19th September -,
16th September 2017,SE1 3TD,London,"
Bermondsey Street Festival ",2017,9,16,
19th September 2015,TW1 1DZ,"Rugby Road, Twickenham","
Rugby World Cup: France v Italy ",2015,9,19,
15th - 23rd September 2018,WC2N 5DW,London,"
The London Design Festival ",2018,9,1523,
18th September - 13th March 2016,SW7 2DD,Exhibition Road,"
Cosmonauts: Birth Of The Space Age  ",2016,9,18th September -,
19th September 2015 to 31st December 2019,SE10 0PE,1 Green Place,"
A Bullet from a Shooting Star ",2019,12,19,
18th - 30th September 2016,NW1 8EH,Chalk Farm Road,"
Apple Music Festival ",2016,9,1830,
18th - 22nd September 2015,W1F 0LA,2 Lexington Street,"
London Fashion Week ",2015,9,1822,
20th September 2015,TW10 5HS,"Park Office, Holly Lodge","
London Duathlon ",2015,9,20,
20th September 2015,HA9 0WS,Wembley,"
Rugby World Cup: New Zealand v Argentina ",2015,9,20,
16th - 19th September 2018,TW8 8JF,"London Road, Brentford","
Decorex International ",2018,9,1619,
02nd July 2016,W2 2UH,Rangers Lodge,"
Florence & The Machine ",2016,7,2,
21st September 2015,EC2Y 8DS,Silk Street,"
Insula Orchestra: Mozart Solemn Vespers ",2015,9,21,
22nd September 2015,WC2N 5DS,Central London,"
BP Big Screen: The Royal Ballet: Romeo and Juliet ",2015,9,22,
22nd - 24th September 2015,E1 6JJ,"The Tea Building, 56 Shoreditch High Street","
London Design Festival at Lyle's ",2015,9,2224,
23rd September 2015,E20 2ST,"Olympic Park, Stratford","
Rugby World Cup: France v Romania ",2015,9,23,
19th - 22nd September 2018,W14 8UX,Hammersmith Road,"
100% Design 2015 ",2018,9,1922,
24th - 27th September 2015,SW3 4SQ,"Duke of York's Square, King's Road","
London Fashion Weekend ",2015,9,2427,
21st - 24th September 2017,N1C 4AA,Good's Way,"
DesignJunction ",2017,9,2124,
24th September - 17th October 2015,SE1 8LZ,66 The Cut,"
La Musica ",2015,10,24th September -,
24th September 2015,E20 2ST,"Olympic Park, Stratford","
Rugby World Cup: New Zealand v Namibia ",2015,9,24,
24th - 28th September 2015,TW9 3AB,"Kew, Richmond","
Write on Kew ",2015,9,2428,
21st - 27th September 2015,W1D 4NQ,1 Greek Street,"
Art Social ",2015,9,2127,
25th September - 03rd January 2016,WC1N 1AZ,40 Brunswick Square,"
The Fallen Woman ",2016,9,25th September -,
25th - 27th September 2015,EC1V 9NG,161 Old Street,"
Lost in Thought: A Mindfulness Opera ",2015,9,2527,
25th September - 14th November 2015,N1 1TA,Almeida Street,"
Medea ",2015,11,25th September -,
26th September 2015,TW1 1DZ,"Rugby Road, Twickenham","
Rugby World Cup: England v Wales ",2015,9,26,
26th September - 20th October 2015,WC2N 4ES,St Martin's Lane,"
Lady Macbeth of Mtsensk ",2015,10,26th September -,
24th - 25th September 2016,W3 9BQ,2 Museum Way,"
Depot Open Weekend: Design Uncovered ",2016,9,2425,
Sunday 29th September 2019,EC2P 2EJ,Gresham Street,"
Pearly Kings and Queens Harvest Festival ",2019,9,Su,
27th September 2015,HA9 0WS,Wembley,"
Rugby World Cup: Ireland v Romania ",2015,9,27,
27th September - 13th December 2015,SE1 8XX,Belvedere Road,"
Philharmonia Orchestra: 70th Birthday, Myths and Rituals ",2015,12,27th September -,
04th - 05th February 2017,E1 6QL,91 Brick Lane,"
Fare Healthy ",2017,2,405,
26th September 2015,SW3 4LY,Duke of York Square,"
Party in the Square - Celebrating 25 Years of Trotters ",2015,9,26,
18th - 28th October 2018,SE1 8XX,Belvedere Road,"
London Literature Festival ",2018,10,1828,
28th - 29th September 2015,EC1R 4TN,Rosebery Avenue,"
Sidi Larbi Cherkaoui: Genesis ",2015,9,2829,
29th September - 17th October 2015,WC2A 2HT,Portugal Street,"
Shaolin Monks ",2015,10,29th September -,
29th September 2015,EC2Y 8DS,Silk Street,"
Monteverdi: Il ritorno d'Ulisse in patria ",2015,9,29,
30th September - 13th December 2015,E1 7QX,77-82 Whitechapel High Street,"
Emily Jacir ",2015,12,30th September -,
01st July 2016,W2 2UH,Rangers Lodge,"
Massive Attack ",2016,7,1,
01st July - 06th August 2016,SW1W 8AS,Sloane Square,"
Unreachable ",2016,8,1,
"12th, 13th and 14th July 2019",W2 2UH,Rangers Lodge,"
Barclaycard presents British Summer Time Hyde Park ",2019,7,12,
02nd July - 02nd October 2016,W1J 0BD,Burlington House,"
David Hockney RA: 79 Portraits and 2 Still Lifes ",2016,10,02nd July - 02nd,
02nd July 2016,W2 2UH,Rangers Lodge,"
Florence & The Machine, Kendrick Lamar, Jamie XX ",2016,7,2,
02nd July 2016,HA9 0WS,Wembley,"
Beyonce: The Formation World Tour ",2016,7,2,
02nd July 2016,SW7 2AP,Kensington Gore,"
Gladys Knight ",2016,7,2,
03rd July 2016,W2 2UH,Rangers Lodge,"
Carole King ",2016,7,3,
04th July 2016,SE10 9NF,Park Row,"
400th Anniversary of The Queen's House ",2016,7,4,
05th July 2016,WC2E 7BB,39 Wellington Street,"
Wayne Hemingway: Talk ",2016,7,5,
05th - 09th July 2016,SE1 8LZ,66 The Cut,"
Queens of Syria  ",2016,7,509,
05th - 30th July 2016,W1D 3NE,21 Dean Street,"
Fury ",2016,7,530,
1st to 7th Jul 2019,KT8 9AU,"East Molesey, Surrey","
RHS Hampton Court Palace Flower Show ",2019,0,1s,
1st to 7th Jul 2019,SE10 9LW,King William Walk,"
Greenwich Music Time ",2019,0,1s,
06th July - 30th October 2016,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Georgia O'Keeffe ",2016,10,06th July - 30th,
11th to 21st July 2019,WC2R 1LA,Strand,"
Somerset House Summer Series ",2019,7,11,
08th July 2016,W2 2UH,Rangers Lodge,"
Mumford & Sons ",2016,7,8,
08th July - 27th August 2016,WC2N 4AU,St Martin's Lane,"
Impossible ",2016,8,8,
"5th, 6th and 7th July 2019",N4 1EE,Endymion Road,"
Wireless Festival 2016 ",2019,7,5t,
07th - 09th July 2017,SE3 0UA,Shooters Hill Road,"
Foodies Festival, Blackheath ",2017,7,709,
09th July 2016,W2 2UH,Rangers Lodge,"
Take That ",2016,7,9,
03rd June - 28th August 2017,SE1 8XX,Belvedere Road,"
Festival of Love ",2017,8,3,
14th - 15th July 2018,SW19 5AE,Church Road,"
Wimbledon Finals Weekend ",2018,7,1415,
10th July 2016,W2 2UH,Rangers Lodge,"
Stevie Wonder ",2016,7,10,
11th July - 17th September 2016,SE1 8NB,103 The Cut,"
Groundhog Day ",2016,9,11th July - 17th,
10th - 15th July 2018,TW9 3AB,"Kew, Richmond","
Kew the Music ",2018,7,1015,
13th July - 06th August 2016,N4 3JP,11 Clifton Terrace,"
Some Girl(s) ",2016,8,13,
13th - 24th July 2016,WC1B 5BE,Bloomsbury,"
Just For Laughs London ",2016,7,1324,
13th July - 06th August 2016,SE1 6BD,77-85 Newington Causeway,"
Stalking the Bogeyman ",2016,8,13,
14th July - 16th October 2016,NW1 7NB,"Raymond Burton House, 129-131 Albert Street","
Jukebox, Jewkbox! A Century on Shellac and Vinyl ",2016,10,14th July - 16th,
