Actual,Day,Predicted
344,318,181.9715989555
294,319,144.529116640413
309,320,52.8780631435998
48,321,25.1074215057799
51,322,150.69782892556
298,323,169.32285747545
271,324,154.738990756309
332,325,174.397857845322
336,326,152.865162014404
288,327,45.2006577981711
73,328,41.7109444489529
52,329,153.751058978727
295,330,175.227448802343
300,331,158.435653495628
362,332,191.45200191413
332,333,160.622303319756
297,334,43.0226593394208
63,335,45.8156082825406
59,336,136.013715568909
283,337,173.085000426642
291,338,157.328693485081
328,339,171.620490882165
297,340,148.986507876218
274,341,38.9610504048971
42,342,43.6035832141169
44,343,148.888731553313
302,344,175.146509087079
293,345,156.281307458037
285,346,171.710715988366
324,347,151.885122239293
258,348,41.8680607512027
58,349,49.9694094920554
55,350,144.512534666177
260,351,164.491289928252
231,352,135.926709068966
205,353,131.16289673502
64,354,70.8193829738266
77,355,1.67305775972929
51,356,44.5808774470793
44,357,145.1804109996
57,358,105.81724912873
111,359,127.73974391923
73,360,122.073550393269
65,361,53.5229165689705
38,362,-14.8813219550303
26,363,39.4707559984271
29,364,158.671671542554
283,365,178.596428672061
308,366,170.772279420326
310,367,179.093349722536
227,368,128.782086641519
296,369,37.0674057892035
38,370,30.9895272403242
58,371,177.695893486107
313,372,176.737752643904
308,373,172.552540617675
333,374,163.621244678721
339,375,148.986609533873
282,376,43.6796060104537
72,377,41.7792786508405
71,378,153.343687475149
326,379,184.899482914468
327,380,163.610330786142
345,381,175.310123958331
319,382,138.176711757454
238,383,28.7100787956748
71,384,50.495599507442
63,385,175.708208017047
336,386,186.289879436833
316,387,177.497794818673
321,388,182.337834729026
309,389,150.30731198688
288,390,44.6686505391269
50,391,33.1229535341622
43,392,167.087487844703
321,393,186.203352738728
313,394,172.276671769276
327,395,177.764357111419
332,396,145.695526227768
286,397,42.2595745274328
52,398,30.3845924520767
51,399,149.825871847122
279,400,175.667323437762
305,401,158.730262397985
317,402,173.941116627801
318,403,140.192174204777
307,404,44.8925162420024
52,405,42.2125851962912
52,406,177.651788003858
314,407,173.804438413756
305,408,162.025106114424
287,409,175.658872334396
295,410,133.700228634221
245,411,26.1572997031579
49,412,43.4611582006746
50,413,166.255362102227
310,414,180.63720780658
353,415,181.495923691528
347,416,182.941693247285
334,417,142.423466969189
286,418,35.8576589674044
52,419,42.0439143214526
52,420,154.240450072806
330,421,184.378047196852
305,422,181.889506091559
302,423,175.751285395802
350,424,158.698831935717
303,425,40.1027111212098
54,426,40.4700200024518
63,427,176.900918976251
372,428,188.480661072384
374,429,182.774556319507
267,430,177.07411219591
336,431,165.357732522277
310,432,52.688510495984
81,433,53.8891356133755
72,434,173.168856142478
380,435,199.210633340976
365,436,185.613907949238
359,437,182.935150564418
369,438,156.683962007834
273,439,36.7500290250314
80,440,43.640674140227
80,441,168.203282617724
379,442,196.451766975591
362,443,189.371880957749
363,444,196.486653696603
342,445,153.53838781623
72,446,-2.88513249185118
53,447,41.0346477432264
36,448,155.977568206074
55,449,125.031320005576
296,450,169.372398502769
343,451,191.008206257316
361,452,158.368901019033
300,453,42.1507623726617
74,454,48.3271761580937
89,455,168.016019466533
339,456,197.517340484273
337,457,182.393984182065
324,458,191.867903552938
312,459,146.9030476022
298,460,46.1031482327778
74,461,47.8751961185742
68,462,176.629972540356
368,463,196.058562383255
352,464,190.221322948553
376,465,200.070487633103
377,466,159.752766690264
196,467,27.9564836271987
66,468,52.6734081663106
92,469,173.506670323136
344,470,194.839773257056
404,471,202.971342180893
424,472,210.127204759341
440,473,182.450635578692
312,474,51.9098532799248
72,475,42.9906778435798
52,476,160.891360121681
344,477,193.827830132506
377,478,186.178305002471
374,479,190.292983706793
401,480,167.463558217308
319,481,51.1113642473283
90,482,44.3204111766751
66,483,158.452557654554
67,484,159.879036968641
380,485,188.746293698499
437,486,212.999679921371
410,487,172.607244703109
368,488,65.9337262724911
111,489,55.5105579446445
118,490,159.029230995881
404,491,214.328586434808
263,492,192.516010352008
351,493,202.835954927049
399,494,186.626531696432
382,495,77.161294496869
84,496,45.0185743628153
104,497,150.069059784026
416,498,210.09258786919
400,499,207.913857562923
338,500,201.530174793321
385,501,169.602661925445
385,502,74.6512609254724
89,503,56.8941828381585
90,504,171.149124758787
369,505,201.882034825628
431,506,209.689333564946
398,507,208.878152159888
394,508,168.033663008971
387,509,69.7860581074471
84,510,58.566754109575
103,511,171.626343450131
70,512,147.730132106981
163,513,154.492271699891
325,514,183.719010528439
341,515,165.515451777378
319,516,60.7474466632447
91,517,54.5666571928949
133,518,181.411124052852
395,519,206.265840462169
376,520,209.11219728453
391,521,213.261058244228
395,522,175.024067546332
392,523,73.6299820846924
101,524,62.230632486583
55,525,169.534921850451
350,526,201.921462398023
338,527,189.683655780978
392,528,203.955143989543
373,529,169.774446640423
298,530,49.4490132110981
85,531,57.2137916663182
103,532,180.620925829396
169,533,165.443328211657
376,534,201.638648228695
374,535,206.738942131829
314,536,156.662161396587
334,537,62.7474886616709
92,538,59.8062895756534
104,539,176.726521249755
369,540,202.432526135307
391,541,203.202015700747
370,542,211.142691969905
391,543,178.965492720612
296,544,54.5257320558854
73,545,55.7770668760383
105,546,164.997322742133
380,547,205.238685653657
436,548,213.688082191283
425,549,217.254384317604
406,550,176.833202453693
355,551,72.7513022442368
88,552,69.7237425653709
106,553,171.535843929639
365,554,202.57708674374
372,555,192.950711686819
353,556,204.47339775063
410,557,181.873725515424
351,558,69.043940222693
84,559,73.1942739863732
97,560,175.525840700854
384,561,208.569985404801
397,562,216.491151454498
403,563,224.077770417823
408,564,181.2519478607
312,565,62.8535632326312
89,566,73.9363734808773
116,567,167.894083922218
353,568,202.980040497861
399,569,211.873540840918
274,570,195.491601251972
350,571,165.219269962602
309,572,59.362346181832
112,573,64.4400200268494
156,574,171.041493542235
313,575,199.193444455303
313,576,196.436018602921
356,577,203.733948937947
367,578,176.045723294373
319,579,65.5638744924473
133,580,75.1845146758152
130,581,167.483273382037
350,582,204.343071344153
380,583,211.4963655289
374,584,215.825933126676
351,585,163.359410521914
335,586,70.1636669129884
98,587,74.241921239711
112,588,165.412701262946
372,589,211.400248568439
389,590,211.034712449454
361,591,208.875578228836
384,592,173.056168960601
221,593,41.7880353445139
63,594,61.8138114949654
100,595,171.416610400526
347,596,200.465438226654
366,597,200.262430077909
343,598,210.214594878772
362,599,166.352004224822
264,600,54.7434945301386
93,601,77.6753383717997
77,602,172.023510465503
90,603,146.613658579474
384,604,210.137365685816
381,605,214.228941290358
375,606,174.822663149352
367,607,80.4602364107371
61,608,59.5085737756988
106,609,179.054141485688
414,610,211.326961278291
393,611,211.241040482151
402,612,226.920367537889
386,613,175.017054667472
169,614,41.4999483609822
77,615,68.9254378411775
85,616,171.419051706121
370,617,203.391525246847
385,618,205.92436926539
407,619,213.209146551001
383,620,178.865396180231
385,621,78.8472752555713
111,622,72.0139976167609
101,623,162.947144430811
371,624,205.909402153598
376,625,199.348760171376
412,626,209.765448399211
398,627,188.471994078514
374,628,80.3068011918867
60,629,58.6233026298492
82,630,175.08962752048
403,631,206.225719326936
423,632,209.790232512964
389,633,205.559791892404
383,634,176.548914090663
