Day,Actual,Predicted
876,0,388
877,0,406
878,0,438
879,0,458
880,0,377
881,0,96
882,0,88
883,0,398
884,0,412
885,0,401
886,0,421
887,0,349
888,0,73
889,0,97
890,0,389
891,0,340
892,0,373
893,0,381
894,0,366
895,0,121
896,0,118
897,0,359
898,0,404
899,0,438
900,0,417
901,0,341
902,0,103
903,0,110
904,0,399
905,0,359
906,0,355
907,0,436
908,0,321
909,0,86
910,0,83
911,0,418
912,0,401
913,0,402
914,0,393
915,0,318
916,0,59
917,0,90
918,0,337
919,0,414
920,0,347
921,0,358
922,0,296
923,0,61
924,0,95
925,0,363
926,0,301
927,0,240
928,0,301
929,0,289
930,0,87
931,0,110
932,0,347
933,0,387
934,0,166
935,0,376
936,0,334
937,0,79
938,0,119
939,0,357
940,0,403
941,0,379
942,0,221
943,0,245
944,0,104
945,0,99
946,0,267
947,0,352
948,0,321
949,0,343
950,0,253
951,0,80
952,0,89
953,0,134
954,0,368
955,0,320
956,0,345
957,0,326
958,0,91
959,0,71
960,0,337
961,0,362
962,0,363
963,0,381
964,0,191
965,0,73
966,0,62
967,0,335
968,0,369
969,0,391
970,0,390
971,0,307
972,0,65
973,0,76
974,0,367
975,0,419
976,0,378
977,0,402
978,0,353
979,0,95
980,0,79
981,0,307
982,0,428
983,0,396
984,0,401
985,0,267
986,0,73
987,0,72
988,0,371
989,0,375
990,0,405
991,0,334
992,0,336
993,0,67
994,0,92
995,0,374
996,0,418
997,0,369
998,0,404
999,0,350
1000,0,92
1001,0,99
1002,0,361
1003,0,392
1004,0,294
1005,0,354
1006,0,308
1007,0,62
1008,0,95
1009,0,314
1010,0,337
1011,0,330
1012,0,319
1013,0,285
1014,0,80
1015,0,73
1016,0,353
1017,0,384
1018,0,390
1019,0,384
1020,0,294
1021,0,65
1022,0,87
1023,0,339
1024,0,359
1025,0,353
1026,0,386
1027,0,283
1028,0,59
1029,0,53
1030,0,369
1031,0,390
1032,0,379
1033,0,405
1034,0,319
1035,0,54
1036,0,69
1037,0,343
1038,0,406
1039,0,363
1040,0,368
1041,0,223
1042,0,29
1043,0,46
1044,0,298
1045,0,378
1046,0,349
1047,0,342
1048,0,235
1049,0,68
1050,0,46
1051,0,370
1052,0,388
1053,0,189
1054,0,316
1055,0,263
1056,0,52
1057,0,24
1058,0,46
1059,0,279
1060,0,281
1061,0,297
1062,0,231
1063,0,36
1064,0,27
1065,0,331
1066,0,313
1067,0,267
1068,0,233
1069,0,151
1070,0,35
1071,0,16
1072,0,58
1073,0,12
1074,0,40
1075,0,65
1076,0,36
1077,0,42
1078,0,26
1079,0,27
1080,0,237
1081,0,250
1082,0,192
1083,0,264
1084,0,32
1085,0,31
1086,0,354
1087,0,354
1088,0,342
1089,0,329
1090,0,258
1091,0,34
1092,0,43
1093,0,224
1094,0,376
1095,0,360
1096,0,377
1097,0,290
1098,0,30
1099,0,31
1100,0,362
1101,0,376
1102,0,291
1103,0,340
1104,0,308
1105,0,60
1106,0,60
1107,0,345
1108,0,366
1109,0,328
1110,0,355
1111,0,259
1112,0,40
1113,0,41
1114,0,348
1115,0,347
1116,0,335
1117,0,363
1118,0,234
1119,0,24
1120,0,31
1121,0,296
1122,0,264
1123,0,253
1124,0,288
1125,0,254
1126,0,59
1127,0,59
1128,0,268
1129,0,322
1130,0,334
1131,0,327
1132,0,279
1133,0,48
1134,0,38
1135,0,317
1136,0,291
1137,0,62
1138,0,106
1139,0,101
1140,0,18
1141,0,35
1142,0,365
1143,0,358
1144,0,218
1145,0,355
1146,0,287
1147,0,53
1148,0,62
1149,0,288
1150,0,382
1151,0,354
1152,0,286
1153,0,308
1154,0,30
1155,0,17
1156,0,308
1157,0,341
1158,0,373
1159,0,336
1160,0,290
1161,0,62
1162,0,59
1163,0,371
1164,0,211
1165,0,138
1166,0,264
1167,0,18
1168,0,27
1169,0,30
1170,0,29
1171,0,236
1172,0,291
1173,0,321
1174,0,231
1175,0,51
1176,0,40
1177,0,167
1178,0,313
1179,0,272
1180,0,324
1181,0,274
1182,0,69
1183,0,57
1184,0,362
1185,0,360
1186,0,384
1187,0,404
1188,0,325
1189,0,103
1190,0,95
1191,0,371
1192,0,381
1193,0,352
1194,0,391
1195,0,201
1196,0,39
1197,0,46
1198,0,177
1199,0,384
1200,0,237
1201,0,387
1202,0,306
1203,0,106
1204,0,88
1205,0,103
1206,0,386
1207,0,390
1208,0,382
1209,0,337
1210,0,43
1211,0,67
1212,0,393
1213,396,408.856285250914
1214,381,346.855812473035
1215,409,278.100200934831
1216,366,233.972808431231
1217,81,169.138395799523
1218,112,135.536128774403
1219,396,419.037296336478
1220,388,377.34066697255
1221,372,273.356240505992
1222,286,229.881816919936
1223,272,247.76145628467
1224,72,133.267998768314
1225,87,167.655596543392
1226,86,381.584524087716
1227,299,389.272330216117
1228,330,390.904559513495
1229,356,317.731996036161
1230,279,335.401678751355
1231,88,218.269443405299
1232,94,215.374966993013
1233,360,416.062419503932
1234,346,359.076359088053
1235,357,341.291581740567
1236,389,259.456318507247
1237,317,183.205812707857
1238,90,112.16639122961
1239,90,157.871356246768
1240,379,436.314081361062
1241,374,363.436824376488
1242,374,349.943137330864
1243,382,250.827356422697
1244,324,262.545320840902
1245,79,139.236823758809
1246,101,162.67495952875
1247,406,437.041937953171
1248,388,452.190980837228
1249,392,322.839014629599
1250,374,386.620360316297
