,Actual,Day,Predicted
328,295,7,257.67861458472737
329,300,1,327.43555649750516
330,362,2,312.9923787840135
331,332,3,358.22860964999154
332,297,4,297.56572565120763
333,63,5,46.0
334,59,6,50.469125030290805
335,283,7,237.25835334739307
336,291,1,329.23035532099186
337,328,2,315.01055728889986
338,297,3,321.1494363877419
339,274,4,290.9236958629127
340,42,5,39.17165966120374
341,44,6,38.96998106024776
342,302,7,249.56521559435964
343,293,1,341.027057156721
344,285,2,311.98461259054733
345,324,3,303.259946909865
346,258,4,296.83123814109183
347,58,5,69.1780868325997
348,55,6,58.51167741545774
349,260,7,278.2314005164878
350,231,1,316.9417309497522
351,205,2,287.0
352,64,3,257.0
353,77,4,95.02208870510987
354,51,5,37.93904785169714
355,44,6,55.19406472549441
356,57,7,113.41565579835307
357,111,1,255.88484592166938
358,73,2,287.0219299942173
359,65,3,236.00654360206389
360,38,4,58.0
361,26,5,18.0
362,29,6,39.836876172367404
363,283,7,278.9262614761102
364,308,1,320.0
365,310,2,313.3807793578396
366,227,3,317.0
367,296,4,262.4194196070277
368,38,5,45.03897428508177
369,58,6,41.0
370,313,7,308.92941373266854
371,308,1,325.0
372,333,2,297.9101566653169
373,339,3,315.26614460238096
374,282,4,281.2685103206137
375,72,5,39.0
376,71,6,44.11068437700192
377,326,7,310.059354859929
378,327,1,340.0
379,345,2,308.81399903449824
380,319,3,322.1756786033029
381,238,4,266.0
382,71,5,46.0
383,63,6,59.44442852454466
384,336,7,321.14761993628025
385,316,1,344.00013055470924
386,321,2,317.0
387,309,3,331.97081340951513
388,288,4,271.14570399028173
389,50,5,51.776420671845806
390,43,6,30.184425149514578
391,321,7,265.00849142119813
392,313,1,343.53919835826895
393,327,2,325.010323098698
394,332,3,321.6888873829156
395,286,4,279.0
396,52,5,57.0
397,51,6,40.0
398,279,7,272.0
399,305,1,312.0
400,317,2,298.62616305645855
401,318,3,318.13756243113374
402,307,4,258.4931238844466
403,52,5,43.0
404,52,6,45.127001540881224
405,314,7,322.3706836637891
406,305,1,325.0
407,287,2,287.0000332952483
408,295,3,303.0162084659541
409,245,4,238.66970597094357
410,49,5,43.0
411,50,6,46.0
412,310,7,311.8587633389767
413,353,1,337.7484240110363
414,347,2,339.0
415,334,3,332.94738677323295
416,286,4,272.0
417,52,5,40.0
418,52,6,46.0
419,330,7,281.2078445603116
420,305,1,339.40032151276426
421,302,2,314.9374620590842
422,350,3,297.0
423,303,4,293.63701963922364
424,54,5,44.988703490822346
425,63,6,43.0
426,372,7,339.0
427,374,1,359.84104501081623
428,267,2,341.4481235566483
429,336,3,299.78223467743845
430,310,4,287.0
431,81,5,46.0
432,72,6,59.58334726231286
433,380,7,344.63680824707046
434,365,1,372.0
435,359,2,343.4687137973379
436,369,3,342.0
437,273,4,288.2216765239646
438,80,5,45.92561200391838
439,80,6,48.98651571297659
440,379,7,332.55929334551666
441,362,1,373.47919433580466
442,363,2,342.0
443,342,3,356.3255976801682
444,72,4,291.9517171013202
445,53,5,46.0
