Month,Season,Weekday,Holiday,Daily Weather,Daily Weather (Past),Humidity,Humidity (Past),Windspeed,Windspeed (Past),Apparent Temperature (Avg),Apparent Temperature (Avg) (Past),Rented Bikes,Rented Bikes (Future)
September,Autumn,Monday,False,rain,clear-day,0.9,0.81,1.96,1.51,53.435,60.77,308,206
September,Autumn,Tuesday,False,rain,rain,0.91,0.9,1.22,1.96,51.935,53.435,206,351
September,Autumn,Wednesday,False,clear-day,rain,0.8,0.91,2.53,1.22,59.52,51.935,351,300
September,Autumn,Thursday,False,rain,clear-day,0.8,0.8,2.96,2.53,55.285,59.52,300,352
September,Autumn,Friday,False,partly-cloudy-day,rain,0.76,0.8,0.98,2.96,52.135,55.285,352,100
September,Autumn,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.76,0.76,0.86,0.98,54.395,52.135,100,102
September,Autumn,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.79,0.76,1.81,0.86,54.90000000000001,54.395,102,324
September,Autumn,Monday,False,clear-day,partly-cloudy-day,0.79,0.79,2.09,1.81,56.705,54.90000000000001,324,368
September,Autumn,Tuesday,False,partly-cloudy-day,clear-day,0.76,0.79,2.96,2.09,57.325,56.705,368,366
September,Autumn,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.73,0.76,3.18,2.96,56.63,57.325,366,382
October,Autumn,Thursday,False,clear-day,partly-cloudy-day,0.77,0.73,3.0,3.18,54.69499999999999,56.63,382,356
October,Autumn,Friday,False,clear-day,clear-day,0.79,0.77,1.37,3.0,55.2,54.69499999999999,356,91
October,Autumn,Saturday,False,fog,clear-day,0.86,0.79,0.17,1.37,52.46,55.2,91,108
October,Autumn,Sunday,False,clear-day,fog,0.8,0.86,0.71,0.17,58.99,52.46,108,333
October,Autumn,Monday,False,rain,clear-day,0.91,0.8,3.2,0.71,61.345,58.99,333,304
October,Autumn,Tuesday,False,rain,rain,0.91,0.91,2.18,3.2,61.32,61.345,304,350
October,Autumn,Wednesday,False,partly-cloudy-day,rain,0.9,0.91,2.71,2.18,50.66,61.32,350,384
October,Autumn,Thursday,False,partly-cloudy-day,partly-cloudy-day,0.81,0.9,0.61,2.71,51.505,50.66,384,368
October,Autumn,Friday,False,partly-cloudy-day,partly-cloudy-day,0.82,0.81,0.58,0.61,54.64,51.505,368,102
October,Autumn,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.87,0.82,1.76,0.58,54.78,54.64,102,98
October,Autumn,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.79,0.87,2.16,1.76,52.44,54.78,98,364
October,Autumn,Monday,False,partly-cloudy-day,partly-cloudy-day,0.77,0.79,2.02,2.16,50.36,52.44,364,368
October,Autumn,Tuesday,False,partly-cloudy-day,partly-cloudy-day,0.78,0.77,3.46,2.02,48.45,50.36,368,357
October,Autumn,Wednesday,False,clear-day,partly-cloudy-day,0.82,0.78,3.03,3.46,51.435,48.45,357,346
October,Autumn,Thursday,False,partly-cloudy-day,clear-day,0.84,0.82,2.84,3.03,52.55,51.435,346,325
October,Autumn,Friday,False,partly-cloudy-day,partly-cloudy-day,0.85,0.84,4.19,2.84,52.855,52.55,325,92
October,Autumn,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.82,0.85,3.7,4.19,53.27,52.855,92,96
October,Autumn,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.86,0.82,1.74,3.7,55.405,53.27,96,365
October,Autumn,Monday,False,partly-cloudy-day,partly-cloudy-day,0.86,0.86,1.5,1.74,50.87,55.405,365,402
October,Autumn,Tuesday,False,clear-day,partly-cloudy-day,0.83,0.86,1.0,1.5,52.33,50.87,402,175
October,Autumn,Wednesday,False,rain,clear-day,0.93,0.83,2.18,1.0,55.455,52.33,175,355
October,Autumn,Thursday,False,partly-cloudy-day,rain,0.8,0.93,2.62,2.18,53.16,55.455,355,312
October,Autumn,Friday,False,partly-cloudy-day,partly-cloudy-day,0.79,0.8,0.78,2.62,54.395,53.16,312,63
October,Autumn,Saturday,False,rain,partly-cloudy-day,0.85,0.79,1.15,0.78,47.505,54.395,63,80
October,Autumn,Sunday,False,clear-day,rain,0.86,0.85,0.19,1.15,47.765,47.505,80,359
October,Autumn,Monday,False,fog,clear-day,0.89,0.86,2.28,0.19,56.43,47.765,359,331
October,Autumn,Tuesday,False,fog,fog,0.87,0.89,2.02,2.28,59.03,56.43,331,181
October,Autumn,Wednesday,False,rain,fog,0.9,0.87,0.86,2.02,54.825,59.03,181,292
October,Autumn,Thursday,False,partly-cloudy-day,rain,0.92,0.9,3.16,0.86,56.555,54.825,292,159
October,Autumn,Friday,False,rain,partly-cloudy-day,0.89,0.92,3.22,3.16,55.90000000000001,56.555,159,81
October,Autumn,Saturday,False,fog,rain,0.89,0.89,0.85,3.22,52.635,55.90000000000001,81,90
November,Autumn,Sunday,False,fog,fog,0.94,0.89,0.12,0.85,50.7,52.635,90,343
November,Autumn,Monday,False,fog,fog,0.95,0.94,0.67,0.12,52.28,50.7,343,355
November,Autumn,Tuesday,False,fog,fog,0.91,0.95,0.99,0.67,53.9,52.28,355,221
November,Autumn,Wednesday,False,rain,fog,0.93,0.91,0.74,0.99,56.55,53.9,221,333
November,Autumn,Thursday,False,rain,rain,0.93,0.93,3.56,0.74,57.915,56.55,333,286
November,Autumn,Friday,False,partly-cloudy-day,rain,0.92,0.93,4.45,3.56,60.12000000000001,57.915,286,49
November,Autumn,Saturday,False,rain,partly-cloudy-day,0.91,0.92,4.8,4.45,54.795,60.12000000000001,49,84
November,Autumn,Sunday,False,partly-cloudy-day,rain,0.91,0.91,3.17,4.8,54.29,54.795,84,323
November,Autumn,Monday,False,clear-day,partly-cloudy-day,0.82,0.91,5.87,3.17,57.89,54.29,323,344
November,Autumn,Tuesday,False,partly-cloudy-day,clear-day,0.88,0.82,5.19,5.87,58.71,57.89,344,346
November,Autumn,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.8,0.88,4.39,5.19,55.13500000000001,58.71,346,362
November,Autumn,Thursday,False,clear-day,partly-cloudy-day,0.87,0.8,3.41,4.39,53.34,55.13500000000001,362,310
November,Autumn,Friday,False,partly-cloudy-day,clear-day,0.75,0.87,5.26,3.41,47.905,53.34,310,39
November,Autumn,Saturday,False,rain,partly-cloudy-day,0.87,0.75,4.66,5.26,56.535,47.905,39,71
November,Autumn,Sunday,False,partly-cloudy-day,rain,0.8,0.87,7.38,4.66,58.15,56.535,71,320
November,Autumn,Monday,False,rain,partly-cloudy-day,0.8,0.8,4.68,7.38,54.835,58.15,320,329
November,Autumn,Tuesday,False,rain,rain,0.84,0.8,6.46,4.68,55.58,54.835,329,344
November,Autumn,Wednesday,False,partly-cloudy-day,rain,0.77,0.84,6.67,6.46,55.49,55.58,344,294
November,Autumn,Thursday,False,partly-cloudy-day,partly-cloudy-day,0.85,0.77,3.91,6.67,49.95,55.49,294,309
November,Autumn,Friday,False,partly-cloudy-day,partly-cloudy-day,0.8,0.85,3.05,3.91,39.665,49.95,309,48
November,Autumn,Saturday,False,rain,partly-cloudy-day,0.75,0.8,5.98,3.05,32.73,39.665,48,51
November,Autumn,Sunday,False,clear-day,rain,0.82,0.75,1.38,5.98,36.795,32.73,51,298
November,Autumn,Monday,False,clear-day,clear-day,0.83,0.82,1.28,1.38,42.96,36.795,298,271
November,Autumn,Tuesday,False,rain,clear-day,0.9,0.83,3.38,1.28,45.82,42.96,271,332
November,Autumn,Wednesday,False,partly-cloudy-day,rain,0.85,0.9,3.12,3.38,47.165,45.82,332,336
November,Autumn,Thursday,False,partly-cloudy-day,partly-cloudy-day,0.91,0.85,0.91,3.12,49.845,47.165,336,288
November,Autumn,Friday,False,partly-cloudy-day,partly-cloudy-day,0.9,0.91,3.39,0.91,44.625,49.845,288,73
November,Autumn,Saturday,False,clear-day,partly-cloudy-day,0.8,0.9,4.72,3.39,48.89,44.625,73,52
November,Autumn,Sunday,False,partly-cloudy-day,clear-day,0.8,0.8,7.24,4.72,51.52,48.89,52,295
November,Autumn,Monday,True,partly-cloudy-day,partly-cloudy-day,0.84,0.8,5.73,7.24,52.985,51.52,295,300
December,Winter,Tuesday,False,partly-cloudy-day,partly-cloudy-day,0.81,0.84,4.29,5.73,55.29,52.985,300,362
December,Winter,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.79,0.81,4.91,4.29,54.76000000000001,55.29,362,332
December,Winter,Thursday,False,rain,partly-cloudy-day,0.84,0.79,5.57,4.91,47.655,54.76000000000001,332,297
December,Winter,Friday,False,clear-day,rain,0.8,0.84,4.72,5.57,53.13,47.655,297,63
December,Winter,Saturday,False,clear-day,clear-day,0.74,0.8,9.24,4.72,54.435,53.13,63,59
December,Winter,Sunday,False,partly-cloudy-day,clear-day,0.85,0.74,5.88,9.24,55.83,54.435,59,283
December,Winter,Monday,False,partly-cloudy-day,partly-cloudy-day,0.9,0.85,3.85,5.88,54.02,55.83,283,291
December,Winter,Tuesday,False,partly-cloudy-day,partly-cloudy-day,0.83,0.9,4.37,3.85,47.49500000000001,54.02,291,328
December,Winter,Wednesday,False,clear-day,partly-cloudy-day,0.82,0.83,3.4,4.37,51.84,47.49500000000001,328,297
December,Winter,Thursday,False,rain,clear-day,0.83,0.82,5.36,3.4,50.17,51.84,297,274
December,Winter,Friday,False,partly-cloudy-day,rain,0.86,0.83,3.24,5.36,45.94,50.17,274,42
December,Winter,Saturday,False,clear-day,partly-cloudy-day,0.83,0.86,4.52,3.24,49.36,45.94,42,44
December,Winter,Sunday,False,partly-cloudy-day,clear-day,0.93,0.83,0.31,4.52,47.175,49.36,44,302
December,Winter,Monday,False,partly-cloudy-day,partly-cloudy-day,0.9,0.93,2.02,0.31,49.025,47.175,302,293
December,Winter,Tuesday,False,rain,partly-cloudy-day,0.94,0.9,2.4,2.02,53.19,49.025,293,285
December,Winter,Wednesday,False,partly-cloudy-day,rain,0.9,0.94,4.68,2.4,56.315,53.19,285,324
December,Winter,Thursday,False,clear-day,partly-cloudy-day,0.83,0.9,4.38,4.68,55.290000000000006,56.315,324,258
December,Winter,Friday,False,partly-cloudy-day,clear-day,0.87,0.83,3.87,4.38,55.25,55.290000000000006,258,58
December,Winter,Saturday,False,clear-day,partly-cloudy-day,0.83,0.87,5.84,3.87,57.290000000000006,55.25,58,55
December,Winter,Sunday,False,partly-cloudy-day,clear-day,0.82,0.83,4.98,5.84,48.935,57.290000000000006,55,260
December,Winter,Monday,False,partly-cloudy-day,partly-cloudy-day,0.87,0.82,4.87,4.98,51.71,48.935,260,231
December,Winter,Tuesday,False,rain,partly-cloudy-day,0.88,0.87,8.04,4.87,51.805,51.71,231,205
December,Winter,Wednesday,False,clear-day,rain,0.79,0.88,4.95,8.04,50.84,51.805,205,64
December,Winter,Thursday,False,rain,clear-day,0.79,0.79,6.08,4.95,47.955,50.84,64,77
December,Winter,Friday,True,clear-day,rain,0.88,0.79,4.0,6.08,56.64,47.955,77,51
December,Winter,Saturday,True,partly-cloudy-day,clear-day,0.81,0.88,7.28,4.0,57.285,56.64,51,44
December,Winter,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.87,0.81,5.23,7.28,52.705,57.285,44,57
December,Winter,Monday,True,clear-day,partly-cloudy-day,0.81,0.87,3.88,5.23,52.56,52.705,57,111
December,Winter,Tuesday,False,partly-cloudy-day,clear-day,0.84,0.81,4.24,3.88,49.965,52.56,111,73
December,Winter,Wednesday,False,rain,partly-cloudy-day,0.78,0.84,8.17,4.24,48.66,49.965,73,65
December,Winter,Thursday,False,rain,rain,0.79,0.78,5.62,8.17,42.915,48.66,65,38
January,Winter,Friday,True,clear-day,rain,0.88,0.79,3.28,5.62,42.7,42.915,38,26
January,Winter,Saturday,True,partly-cloudy-day,clear-day,0.92,0.88,3.87,3.28,46.395,42.7,26,29
January,Winter,Sunday,False,rain,partly-cloudy-day,0.9,0.92,3.12,3.87,44.68,46.395,29,283
January,Winter,Monday,True,clear-day,rain,0.91,0.9,2.79,3.12,45.94499999999999,44.68,283,308
January,Winter,Tuesday,False,partly-cloudy-day,clear-day,0.92,0.91,1.27,2.79,45.365,45.94499999999999,308,310
January,Winter,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.94,0.92,0.19,1.27,43.82,45.365,310,227
January,Winter,Thursday,False,rain,partly-cloudy-day,0.85,0.94,2.99,0.19,41.995,43.82,227,296
January,Winter,Friday,False,clear-day,rain,0.87,0.85,2.31,2.99,44.66,41.995,296,38
January,Winter,Saturday,False,rain,clear-day,0.9,0.87,4.51,2.31,44.835,44.66,38,58
January,Winter,Sunday,False,partly-cloudy-day,rain,0.86,0.9,4.01,4.51,41.455,44.835,58,313
January,Winter,Monday,False,rain,partly-cloudy-day,0.91,0.86,1.86,4.01,39.29,41.455,313,308
January,Winter,Tuesday,False,clear-day,rain,0.85,0.91,5.75,1.86,37.0,39.29,308,333
